,0
0,100000.0
1,99302.48260498047
2,96297.62655639648
3,95366.67483520508
4,95393.82583618164
5,95460.3544921875
6,95980.0073852539
7,96700.57150268555
8,93692.3727722168
9,94957.95739746094
10,92959.35610961914
11,92646.18395996094
12,92035.75573730469
13,90613.61163330078
14,90485.02526855469
15,88674.0297241211
16,90232.31448364258
17,90794.08209228516
18,94116.93035888672
19,95262.19305419922
20,94720.08108520508
21,95918.53952026367
22,93222.66998291016
23,93981.83624267578
24,93028.85821533203
25,94225.59255981445
26,95537.71990966797
27,93327.80676269531
28,91229.43823242188
29,91326.3676147461
30,92952.29992675781
31,92850.33737182617
32,90878.29861450195
33,90201.12887573242
34,89721.99938964844
35,87573.88598632812
36,90532.05776977539
37,91782.41619873047
38,91993.5298461914
39,90937.75576782227
40,92492.25561523438
41,91617.90832519531
42,90046.91528320312
43,87110.2106628418
44,85810.6156616211
45,89071.2338256836
46,87718.05883789062
47,86146.57931518555
48,85098.2341003418
49,87990.47448730469
50,89969.6555480957
51,90386.6675415039
52,91850.54794311523
53,91874.86938476562
54,93328.13177490234
55,92535.8910522461
56,94055.33154296875
57,94162.01126098633
58,95729.9089050293
59,97139.20529174805
60,96688.89926147461
61,95146.37460327148
62,95490.36572265625
63,97057.0185546875
64,95799.15185546875
65,93261.61444091797
66,93733.93759155273
67,92676.04281616211
68,89805.48107910156
69,89568.43887329102
70,91050.51919555664
71,88908.35269165039
72,88905.12426757812
73,90267.7661743164
74,90622.68313598633
75,89474.14053344727
76,87355.83261108398
77,88943.23336791992
78,85918.19638061523
79,88538.73706054688
80,90840.17889404297
81,87379.6773071289
82,88563.42166137695
83,88165.04794311523
84,90999.43997192383
85,87212.46124267578
86,86838.13781738281
87,84137.30529785156
88,85310.17657470703
89,82562.00888061523
90,81063.48406982422
91,83021.25912475586
92,82936.24838256836
93,84430.78198242188
94,80074.7561340332
95,79208.43270874023
96,79311.55291748047
97,81982.69299316406
98,81640.56021118164
99,82241.99130249023
100,83377.23873901367
101,85660.51971435547
102,85039.51373291016
103,85072.00653076172
104,85949.29528808594
105,84145.23162841797
106,83975.51544189453
107,85121.90887451172
108,84544.04211425781
109,82535.30834960938
110,79417.6900024414
111,76605.4690246582
112,76840.39834594727
113,78704.94464111328
114,76551.43716430664
115,77343.99194335938
116,79349.1770324707
117,79247.11184692383
118,80896.52502441406
119,83301.91687011719
120,82723.78118896484
121,80395.86428833008
122,81460.12551879883
123,80491.08489990234
124,81602.3685913086
125,82379.73471069336
126,83243.93225097656
127,84027.88201904297
128,84016.31307983398
129,83074.23034667969
130,81017.60260009766
131,80726.76187133789
132,81345.81301879883
133,82148.98348999023
134,81095.00903320312
135,82816.49963378906
136,83425.78100585938
137,84206.97814941406
138,83204.12985229492
139,82868.54330444336
140,81522.51446533203
141,85478.46014404297
142,87262.5708618164
143,88810.59362792969
144,88209.24304199219
145,87216.88537597656
146,89576.59262084961
147,89719.33660888672
148,89488.10098266602
149,88836.92794799805
150,89248.62942504883
151,91279.46020507812
152,90677.75396728516
153,92204.8285522461
154,92807.54962158203
155,92738.26473999023
156,92756.60815429688
157,92542.31484985352
158,91395.30224609375
159,89035.4382019043
160,88745.83236694336
161,88674.03988647461
162,89664.28945922852
163,86404.03381347656
164,85473.88540649414
165,84593.80685424805
166,83992.54629516602
167,83933.68630981445
168,82633.46017456055
169,81917.2024230957
170,83275.35858154297
171,83127.57583618164
172,84718.74798583984
173,85978.4221496582
174,81442.5726928711
175,81741.5082397461
176,79849.18328857422
177,79506.25506591797
178,80044.20208740234
179,79935.16195678711
180,78732.07485961914
181,78977.42056274414
182,77944.22290039062
183,77755.44482421875
184,77392.95184326172
185,78176.68295288086
186,76430.02606201172
187,74856.29214477539
188,77080.81848144531
189,79189.75570678711
190,79188.19790649414
191,78352.7582397461
192,75077.37365722656
193,74112.82632446289
194,73183.97799682617
195,73294.36288452148
196,75718.75686645508
197,73823.26254272461
198,76257.37002563477
199,76768.5366821289
200,76291.93685913086
201,75995.8948059082
202,77851.1321105957
203,79458.66012573242
204,80775.44970703125
205,76652.64685058594
206,75182.33056640625
207,78650.53115844727
208,77423.25717163086
209,76249.3646850586
210,73761.64276123047
211,71796.6201171875
212,73262.49966430664
213,74656.20623779297
214,74950.74047851562
215,73323.64874267578
216,78947.5473022461
217,80218.20028686523
218,78821.35427856445
219,79115.7155456543
220,79017.72814941406
221,79297.4340209961
222,79363.91607666016
223,79279.12072753906
224,80205.25158691406
225,80880.42416381836
226,80486.11288452148
227,78844.23022460938
228,78119.06024169922
229,82253.34503173828
230,82235.9052734375
231,82344.2318725586
232,81065.15048217773
233,79566.43359375
234,79179.1548461914
235,80055.24252319336
236,79469.3081665039
237,81338.63482666016
238,82343.62677001953
239,82106.7035522461
240,79431.84686279297
241,78246.33743286133
242,77144.24319458008
243,77392.50305175781
244,78521.69485473633
245,76775.62875366211
246,76927.0390625
247,76412.49746704102
248,75284.49102783203
249,77108.42514038086
250,76848.98828125
251,76036.39529418945
252,74125.9518737793
253,72467.10217285156
254,73821.24911499023
255,74170.9086303711
256,74496.2158203125
257,76204.09045410156
258,76580.67651367188
259,76942.78344726562
260,77367.5728149414
261,76010.94900512695
262,75233.60513305664
263,77284.65585327148
264,78205.48663330078
265,78346.8353881836
266,78049.71621704102
267,79764.0627746582
268,79991.9439086914
269,78558.48538208008
270,79868.60525512695
271,80997.50790405273
272,83845.3896484375
273,83003.86209106445
274,82393.9898071289
275,84892.49224853516
276,84302.50106811523
277,83530.05755615234
278,83475.75213623047
279,85665.18725585938
280,85552.21853637695
281,85401.41793823242
282,83694.64364624023
283,82905.48892211914
284,81239.83578491211
285,81101.08721923828
286,81833.44061279297
287,80330.8110961914
288,80672.27630615234
289,80398.41122436523
290,79371.79318237305
291,80577.43051147461
292,82024.58297729492
293,82884.0260925293
294,81983.79583740234
295,82067.09408569336
296,81381.5309753418
297,80318.71319580078
298,81751.0285949707
299,83434.85662841797
300,84487.3557434082
301,87061.8226928711
302,87536.24865722656
303,86536.40936279297
304,87036.02401733398
305,86497.31698608398
306,87681.60488891602
307,88623.65124511719
308,87621.72372436523
309,87324.55487060547
310,88867.58032226562
311,89776.6178894043
312,90988.3620300293
313,91015.15158081055
314,90897.21286010742
315,90203.57174682617
316,91769.72863769531
317,90956.7145690918
318,89472.40023803711
319,89532.91110229492
320,91599.33129882812
321,90799.87280273438
322,91410.2670288086
323,91507.31350708008
324,91698.93786621094
325,91160.77200317383
326,90894.91213989258
327,90124.56692504883
328,88640.5531616211
329,92538.14358520508
330,95050.68048095703
331,95791.29656982422
332,95471.5560913086
333,95247.27194213867
334,94833.47479248047
335,94829.54208374023
336,96949.13558959961
337,96523.6636352539
338,95865.65734863281
339,97175.5249633789
340,96834.38174438477
341,96533.49490356445
342,96531.74551391602
343,96843.3620300293
344,97495.69439697266
345,98636.20407104492
346,98620.7465209961
347,98801.24948120117
348,97255.71667480469
349,96910.62231445312
350,99369.58795166016
351,101046.76837158203
352,100864.86486816406
353,100274.2180480957
354,101547.03955078125
355,102447.37368774414
356,102294.50564575195
357,101710.58465576172
358,99462.55224609375
359,100227.18359375
360,100602.17098999023
361,101929.42266845703
362,102398.28424072266
363,103168.8893737793
364,105742.28344726562
365,104538.4680480957
366,103618.7041015625
367,102621.47872924805
368,104326.52160644531
369,103224.08633422852
370,101766.31005859375
371,103294.41418457031
372,103593.14349365234
373,103380.37326049805
374,105087.07427978516
375,104452.44918823242
376,104424.26983642578
377,105015.12887573242
378,103903.90939331055
379,102471.59661865234
380,102570.48648071289
381,103796.04022216797
382,105083.14907836914
383,105724.06134033203
384,106237.65502929688
385,108891.77713012695
386,108405.8158569336
387,106662.24688720703
388,105899.32995605469
389,106276.16760253906
390,107516.20608520508
391,105163.1686706543
392,103473.21795654297
393,105345.11251831055
394,104831.29116821289
395,104772.84686279297
396,102654.42300415039
397,102239.04022216797
398,101071.63305664062
399,101216.48904418945
400,100481.09548950195
401,99537.53845214844
402,99620.21005249023
403,99295.62161254883
404,100060.79263305664
405,99282.04025268555
406,99012.75384521484
407,97998.71557617188
408,98050.46743774414
409,99201.65420532227
410,99427.37548828125
411,100885.3581237793
412,98829.24084472656
413,99777.62866210938
414,100162.5602722168
415,101606.51651000977
416,102141.0686340332
417,101838.8486328125
418,102125.11657714844
419,103034.46664428711
420,101999.15985107422
421,100614.49691772461
422,101564.74661254883
423,102559.54116821289
424,100813.26141357422
425,101420.3420715332
426,102242.9787902832
427,100354.24700927734
428,100584.28500366211
429,100623.615234375
430,98633.95712280273
431,98002.95196533203
432,97626.04022216797
433,97782.4189453125
434,96070.9035949707
435,95883.8742980957
436,96059.6764831543
437,96582.23220825195
438,98022.75387573242
439,96050.4739074707
440,97357.79989624023
441,97074.2626953125
442,99138.63555908203
443,99794.55062866211
444,99658.84979248047
445,100583.87362670898
446,100274.07501220703
447,99361.72085571289
448,100429.9479675293
449,100234.68811035156
450,99669.75189208984
451,99920.31469726562
452,98697.88928222656
453,99144.40505981445
454,99752.93322753906
455,101560.25479125977
456,98392.3970336914
457,98842.86981201172
458,100790.1591796875
459,101080.20150756836
460,103077.43209838867
461,104128.63613891602
462,104830.5905456543
463,105959.02868652344
464,107138.59744262695
465,107793.54806518555
466,107144.96969604492
467,109503.58020019531
468,108738.62832641602
469,109835.61026000977
470,109962.53475952148
471,111472.34878540039
472,110229.8664855957
473,112004.86682128906
474,111150.70022583008
475,112270.64645385742
476,112039.90621948242
477,112229.91439819336
478,113150.64013671875
479,112176.82098388672
480,112399.26336669922
481,111730.95388793945
482,110406.3210144043
483,111625.07470703125
484,110725.43399047852
485,111439.7173461914
486,112258.3450012207
487,111425.88589477539
488,112318.45755004883
489,112846.90817260742
490,111003.80172729492
491,111802.8464050293
492,112048.65020751953
493,112270.8591003418
494,111221.66079711914
495,111860.81243896484
496,111992.04818725586
497,111983.513671875
498,111908.9143371582
499,112215.1496887207
500,112264.44778442383
