,date,action
0,0,1
1,0,1
2,0,1
3,1,1
4,1,1
5,1,1
6,2,1
7,2,1
8,2,1
9,3,1
10,3,1
11,3,1
12,4,1
13,4,1
14,4,1
15,5,1
16,5,1
17,5,1
18,6,1
19,6,1
20,6,1
21,7,1
22,7,1
23,7,1
24,8,1
25,8,1
26,8,1
27,9,1
28,9,1
29,9,1
30,10,1
31,10,1
32,10,1
33,11,1
34,11,1
35,11,1
36,12,1
37,12,1
38,12,1
39,13,1
40,13,1
41,13,1
42,14,1
43,14,1
44,14,1
45,15,1
46,15,1
47,15,1
48,16,1
49,16,1
50,16,1
51,17,1
52,17,1
53,17,1
54,18,1
55,18,1
56,18,1
57,19,1
58,19,1
59,19,1
60,20,1
61,20,1
62,20,1
63,21,1
64,21,1
65,21,1
66,22,1
67,22,1
68,22,1
69,23,1
70,23,1
71,23,1
72,24,1
73,24,1
74,24,1
75,25,1
76,25,1
77,25,1
78,26,1
79,26,1
80,26,1
81,27,1
82,27,1
83,27,1
84,28,1
85,28,1
86,28,1
87,29,1
88,29,1
89,29,1
90,30,1
91,30,1
92,30,1
93,31,1
94,31,1
95,31,1
96,32,1
97,32,1
98,32,1
99,33,1
100,33,1
101,33,1
102,34,1
103,34,1
104,34,1
105,35,1
106,35,1
107,35,1
108,36,1
109,36,1
110,36,1
111,37,1
112,37,1
113,37,1
114,38,1
115,38,1
116,38,1
117,39,1
118,39,1
119,39,1
120,40,1
121,40,1
122,40,1
123,41,1
124,41,1
125,41,1
126,42,1
127,42,1
128,42,1
129,43,1
130,43,1
131,43,1
132,44,1
133,44,1
134,44,1
135,45,1
136,45,1
137,45,1
138,46,1
139,46,1
140,46,1
141,47,1
142,47,1
143,47,1
144,48,1
145,48,1
146,48,1
147,49,1
148,49,1
149,49,1
150,50,1
151,50,1
152,50,1
153,51,1
154,51,1
155,51,1
156,52,1
157,52,1
158,52,1
159,53,1
160,53,1
161,53,1
162,54,1
163,54,1
164,54,1
165,55,1
166,55,1
167,55,1
168,56,1
169,56,1
170,56,1
171,57,1
172,57,1
173,57,1
174,58,1
175,58,1
176,58,1
177,59,1
178,59,1
179,59,1
180,60,1
181,60,1
182,60,1
183,61,1
184,61,1
185,61,1
186,62,1
187,62,1
188,62,1
189,63,1
190,63,1
191,63,1
192,64,1
193,64,1
194,64,1
195,65,1
196,65,1
197,65,1
198,66,1
199,66,1
200,66,1
201,67,1
202,67,1
203,67,1
204,68,1
205,68,1
206,68,1
207,69,1
208,69,1
209,69,1
210,70,1
211,70,1
212,70,1
213,71,1
214,71,1
215,71,1
216,72,1
217,72,1
218,72,1
219,73,1
220,73,1
221,73,1
222,74,1
223,74,1
224,74,1
225,75,1
226,75,1
227,75,1
228,76,1
229,76,1
230,76,1
231,77,1
232,77,1
233,77,1
234,78,1
235,78,1
236,78,1
237,79,1
238,79,1
239,79,1
240,80,1
241,80,1
242,80,1
243,81,1
244,81,1
245,81,1
246,82,1
247,82,1
248,82,1
249,83,1
250,83,1
251,83,1
252,84,1
253,84,1
254,84,1
255,85,1
256,85,1
257,85,1
258,86,1
259,86,1
260,86,1
261,87,1
262,87,1
263,87,1
264,88,1
265,88,1
266,88,1
267,89,1
268,89,1
269,89,1
270,90,1
271,90,1
272,90,1
273,91,1
274,91,1
275,91,1
276,92,1
277,92,1
278,92,1
279,93,1
280,93,1
281,93,1
282,94,1
283,94,1
284,94,1
285,95,1
286,95,1
287,95,1
288,96,1
289,96,1
290,96,1
291,97,1
292,97,1
293,97,1
294,98,1
295,98,1
296,98,1
297,99,1
298,99,1
299,99,1
300,100,1
301,100,1
302,100,1
303,101,1
304,101,1
305,101,1
306,102,1
307,102,1
308,102,1
309,103,1
310,103,1
311,103,1
312,104,1
313,104,1
314,104,1
315,105,1
316,105,1
317,105,1
318,106,1
319,106,1
320,106,1
321,107,1
322,107,1
323,107,1
324,108,1
325,108,1
326,108,1
327,109,1
328,109,1
329,109,1
330,110,1
331,110,1
332,110,1
333,111,1
334,111,1
335,111,1
336,112,1
337,112,1
338,112,1
339,113,1
340,113,1
341,113,1
342,114,1
343,114,1
344,114,1
345,115,1
346,115,1
347,115,1
348,116,1
349,116,1
350,116,1
351,117,1
352,117,1
353,117,1
354,118,1
355,118,1
356,118,1
357,119,1
358,119,1
359,119,1
360,120,1
361,120,1
362,120,1
363,121,1
364,121,1
365,121,1
366,122,1
367,122,1
368,122,1
369,123,1
370,123,1
371,123,1
372,124,1
373,124,1
374,124,1
375,125,1
376,125,1
377,125,1
378,126,1
379,126,1
380,126,1
381,127,1
382,127,1
383,127,1
384,128,1
385,128,1
386,128,1
387,129,1
388,129,1
389,129,1
390,130,1
391,130,1
392,130,1
393,131,1
394,131,1
395,131,1
396,132,1
397,132,1
398,132,1
399,133,1
400,133,1
401,133,1
402,134,1
403,134,1
404,134,1
405,135,1
406,135,1
407,135,1
408,136,1
409,136,1
410,136,1
411,137,1
412,137,1
413,137,1
414,138,1
415,138,1
416,138,1
417,139,1
